DRUG,LAB,VAR
AMIKACIN, AUC (mg/l*h),AUC
AMIKACIN, C1h/MIC ratio,CMIC
AMIKACIN, Cmax (mg/l),CMAX
AMIKACIN, Concentration (mg/l),DV
AMIKACIN,Clearance (L/h),CL
AMIKACIN,Volume of distribution (L),V
AMIKACIN,Central Volume of distribution (L),V1
AMIKACIN,Central Volume of distribution (L),V2
AMIKACIN,Peripheral Volume of distribution (L),V3
AMIKACIN,Intercompartmental clearance (L/h),Q
AMIKACIN,Intercompartmental clearance (L/h),Q2
AMIKACIN,Intercompartmental clearance (L/h),Q3
AMIKACIN,Intercompartmental clearance (L/h),Q12
AMIKACIN,Intercompartmental clearance (L/h),Q21
AMIKACIN,Intercompartmental clearance (L/h),Q13
AMIKACIN,Intercompartmental clearance (L/h),Q31
AMIKACIN,Weight (kg),WT
AMIKACIN,Age (yrs),AGE
AMIKACIN,Creatinine Clearance (ml/min),CRCL
AMIKACIN,Body Mass Index (kg/m2),BMI
AMIKACIN,Lean Body Mass (kg),LBM
AMIKACIN,Height (cm),HT
AMIKACIN,Serum creatinine (g/dL),SCR
AMIKACIN,Body Surface Area (m2),BSA
DOCETAXEL, AUC (mg/l*h),AUC
DOCETAXEL, Cmax (mg/l),CMAX
DOCETAXEL, Concentration (mg/l),DV
DOCETAXEL,Clearance (L/h),CL
DOCETAXEL,Volume of distribution (L),V
DOCETAXEL,Central Volume of distribution (L),V1
DOCETAXEL,Central Volume of distribution (L),V2
DOCETAXEL,Peripheral Volume of distribution (L),V3
DOCETAXEL,Intercompartmental clearance (L/h),Q
DOCETAXEL,Intercompartmental clearance (L/h),Q2
DOCETAXEL,Intercompartmental clearance (L/h),Q3
DOCETAXEL,Intercompartmental clearance (L/h),Q12
DOCETAXEL,Intercompartmental clearance (L/h),Q21
DOCETAXEL,Intercompartmental clearance (L/h),Q13
DOCETAXEL,Intercompartmental clearance (L/h),Q31
DOCETAXEL,Weight (kg),WT
DOCETAXEL,Age (yrs),AGE
DOCETAXEL,Creatinine Clearance (ml/min),CRCL
DOCETAXEL,Body Mass Index (kg/m2),BMI
DOCETAXEL,Lean Body Mass (kg),LBM
DOCETAXEL,Height (cm),HT
DOCETAXEL,Serum creatinine (g/dL),SCR
DOCETAXEL,Body Surface Area (m2),BSA
GABAPENTIN, AUC (mg/l*h),AUC
GABAPENTIN, Cmax (mg/l),CMAX
GABAPENTIN, Concentration (mg/l),DV
GABAPENTIN,Clearance (L/h),CL
GABAPENTIN,Volume of distribution (L),V
GABAPENTIN,Central Volume of distribution (L),V1
GABAPENTIN,Peripheral Volume of distribution (L),V2
GABAPENTIN,Peripheral Volume of distribution (L),V3
GABAPENTIN,Intercompartmental clearance (L/h),Q
GABAPENTIN,Intercompartmental clearance (L/h),Q2
GABAPENTIN,Intercompartmental clearance (L/h),Q3
GABAPENTIN,Intercompartmental clearance (L/h),Q12
GABAPENTIN,Intercompartmental clearance (L/h),Q21
